canonical_id,year,gate,gate_reason,audit_class,audit_note,call,title
doi:101007s00394026039986,2026,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Microencapsulated docosahexaenoic acid increases the Omega-3 Index and attenuates the physiological impact of eccentric exercise in physically trained adults: a 12-week double-blind placebo-controlled
doi:101007s10654025012590,2025,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Identification of individuals who benefit from omega-3 fatty acid supplementation to prevent coronary heart disease: a machine-learning analysis of the VITAL.
doi:101007s1080301732493,2017,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Effect of Omega-3 and -6 Supplementation on Language in Preterm Toddlers Exhibiting Autism Spectrum Disorder Symptoms.
doi:101007s11130025013098,2025,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,"Effects of Sacha Inchi (Plukenetia volubilis L.) Oil Supplementation on Hyperglycaemia, Hypertension and Hyperlipidaemia (3Hs) Patients: A Preliminary Human Trial."
doi:101007s1260302218095,2022,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Omega-3 Supplementation for the Prevention of Cognitive Decline in Older Adults: Does It Depend on Homocysteine Levels?
doi:101016jajog201705033,2017,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,The effect of omega-3 supplementation on pregnancy outcomes by smoking status.
doi:101016jajog202110017,2022,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,Effect of vitamin D supplementation on urinary incontinence in older women: ancillary findings from a randomized trial.
doi:101016jamjmed202011023,2021,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Effect of Vitamin D and/or Marine n-3 Fatty Acid Supplementation on Changes in Migraine Frequency and Severity.
doi:101016jatherosclerosis2023117388,2023,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Eicosapentaenoic and docosahexaenoic acid supplementation and coronary artery calcium progression in patients with coronary artery disease: A secondary analysis of a randomized trial.
doi:101016jatherosclerosis2023117407,2024,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Monocyte transcriptomic profile following EPA and DHA supplementation in men and women with low-grade chronic inflammation.
doi:101016jbbi202310025,2024,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,A randomised double-blind placebo-controlled trial of minocycline and/or omega-3 fatty acids added to treatment as usual for at risk Mental States: The NAYAB study.
doi:101016jclnu202307002,2023,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Omega-3 fatty acid supplements and risk of atrial fibrillation and 'micro-atrial fibrillation': A secondary analysis from the OMEMI trial.
doi:101016jebiom2022103909,2022,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,"Modification of subcutaneous white adipose tissue inflammation by omega-3 fatty acids is limited in human obesity-a double blind, randomised clinical trial."
doi:101016jjacl201910013,2020,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,"Supplementation with saury oil, a fish oil high in omega-11 monounsaturated fatty acids, improves plasma lipids in healthy subjects."
doi:101016jjad202105086,2021,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Emotion-Related Network Reorganization Following Fish Oil Supplementation in Depressed Bipolar Offspring: An fMRI Graph-Based Connectome Analysis.
doi:101016jjnha2025100528,2025,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,"Effects of vitamin D3, omega-3 fatty acids and a simple home exercise program on change in physical activity among generally healthy and active older adults: The 3-year DO-HEALTH trial."
doi:101016jjnutbio2025110136,2026,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,n - 3 polyunsaturated fatty acids mediate hyodeoxycholic acid-FXR signaling to ameliorate metabolic dysfunction-associated fatty liver disease.
doi:101016jmaturitas202006012,2020,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,"Effect of long-term omega-3 supplementation and a lifestyle multidomain intervention on intrinsic capacity among community-dwelling older adults: Secondary analysis of a randomized, placebo-controlled"
doi:101016jnrleng201909009,2022,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Impulsiveness in children with attention-deficit/hyperactivity disorder after an 8-week intervention with the Mediterranean diet and/or omega-3 fatty acids: a randomised clinical trial.
doi:101016jophtha202407014,2025,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,Oral Antioxidant and Lutein/Zeaxanthin Supplements Slow Geographic Atrophy Progression to the Fovea in Age-Related Macular Degeneration.
doi:101016jplefa2019102041,2020,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Plasma oxylipins and unesterified precursor fatty acids are altered by DHA supplementation in pregnancy: Can they help predict risk of preterm birth?
doi:101016jplefa2023102588,2023,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Effect of maternal fish oil supplementation during lactation on socioemotional wellbeing and physical activity in 13-year-old children: A randomized clinical trial.
doi:101016jplefa2024102623,2024,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,"APOE genotype, eicosapentaenoic acid (EPA) supplementation and n-3 highly unsaturated fatty acid (HUFA) levels in patients with multiple colorectal polyps: A secondary analysis of the seAFOod polyp pr"
doi:101016jplefa2024102655,2024,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Sex differences in lipid mediators derived from omega-3 fatty acids in older individuals with low-grade chronic inflammation.
doi:101016jredox2025103617,2025,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Effects of Omega-3 PUFAs on lipid profiles and antioxidant response in depressed adolescents: A metabolomic and lipidomic study.
doi:101016jschres201908033,2020,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,"Supplementation with the omega-3 long chain polyunsaturated fatty acids: Changes in the concentrations of omega-3 index, fatty acids and molecular phospholipids of people at ultra high risk of develop"
doi:101016jtjnut202403004,2024,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,"Maternal and Offspring Fatty Acid Desaturase Variants, Prenatal DHA Supplementation, and Dietary n-6:n-3 Fatty Acid Ratio in Relation to Cardiometabolic Health in Mexican Children."
doi:101016jtransproceed201901067,2019,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Marine n-3 Polyunsaturated Fatty Acid Supplementation and Quality of Life After Kidney Transplant.
doi:101017s0007114517002914,2017,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,"Effects of prenatal n-3 fatty acid supplementation on offspring resolvins at birth and 12 years of age: a double-blind, randomised controlled clinical trial."
doi:101017s0007114520002044,2020,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Dietary supplementation with seed oil from transgenic <i>Camelina sativa</i> induces similar increments in plasma and erythrocyte DHA and EPA to fish oil in healthy humans.
doi:101037hea0001301,2023,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Omega-3 fatty acids reduce depressive symptoms only among the socially stressed: A corollary of the social signal transduction theory of depression.
doi:101038s41386022015277,2023,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Clinical response to EPA supplementation in patients with major depressive disorder is associated with higher plasma concentrations of pro-resolving lipid mediators.
doi:101038s41390025039135,2025,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,Omega and heart rate variability in overweight and obese schoolchildren.
doi:101038s41398025034018,2025,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,Major depressive disorder in children and adolescents is associated with reduced hair cortisol and anandamide (AEA): cross-sectional and longitudinal evidence from a large randomized clinical trial.
doi:101038s41433025041055,2026,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,Association between lid margin collarettes and dry eye disease severity in the Dry Eye Assessment and Management (DREAM) study.
doi:101038s4144302200598w,2024,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Effect of Omega-3 fatty acid supplementation on sexual function of pregnant women: a double blind randomized controlled trial.
doi:101038s41598025132097,2025,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,A preliminary study of lipid complex supplementation on fatty acid profile and blood antioxidant status after downhill running in athletes.
doi:101038s41598026443391,2026,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Improved muscle recovery after omega-3 supplementation is associated with increased oxylipin availability.
doi:101056nejmoa1816832,2019,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,A Randomized Trial of Prenatal n-3 Fatty Acid Supplementation and Preterm Delivery.
doi:1010800785389020211936151,2021,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Supplementation of EPA and DHA in pregnant women with type 1 diabetes mellitus.
doi:1010800954663420232299107,2024,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,The adjuvant treatment role of ω-3 fatty acids by regulating gut microbiota positively in the acne vulgaris.
doi:1010801550278320222117994,2022,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Omega-3 fatty acids enhance the beneficial effect of BCAA supplementation on muscle function following eccentric contractions.
doi:1010801550278320232174704,2023,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,The effect of fish oil supplementation on resistance training-induced adaptations.
doi:1010801550278320262658774,2026,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Effects of eight weeks of eicosapentaenoic acid and medium-chain triacylglycerol structured lipid intake on EPA/AA ratio and muscle performance in young men.
doi:1010801949097620201863133,2021,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,The prebiotic effects of omega-3 fatty acid supplementation: A six-week randomised intervention trial.
doi:1010801949097620242438823,2025,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,Multifunctional dietary approach reduces intestinal inflammation in relation with changes in gut microbiota composition in subjects at cardiometabolic risk: the SINFONI project.
doi:101093geronaglad260,2024,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Apolipoprotein E and Its Association With Cognitive Change and Modification of Treatment Effects of Vitamin D3 and Omega-3s on Cognitive Change: Results From the In-Clinic Subset of a Randomized Clini
doi:101093jbmrzjaf058,2025,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,"Effects of vitamin D3, omega-3s, and a simple home exercise program on incident vertebral fractures: the DO-HEALTH randomized controlled trial."
doi:101093jbmrzjaf172,2026,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,The effects of marine fatty acid omega-3 supplements on incident fractures and bone mineral density in generally healthy adults.
doi:101093milmedusad365,2024,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,Narcissism Is Not Associated With Success in U.S. Army Soldier Training.
doi:101097ju0000000000002942,2023,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,Effect of Vitamin D Supplementation on Overactive Bladder and Urinary Incontinence Symptoms in Older Men: Ancillary Findings From a Randomized Trial.
doi:101097wad0000000000000674,2025,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Effects of docosahexaenoic acid supplementation on aggressive behavior among people with dementia: Secondary data analysis of a randomized clinical trial.
doi:101111bdi13110,2022,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Fish oil supplementation alters emotion-generated corticolimbic functional connectivity in depressed adolescents at high-risk for bipolar I disorder: A 12-week placebo-controlled fMRI trial.
doi:101111eci12998,2018,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Polyunsaturated fatty acids supplementation impairs anti-oxidant high-density lipoprotein function in heart failure.
doi:101111ene14623,2021,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Effect of vitamin D and/or omega-3 fatty acid supplementation on stroke outcomes: A randomized trial.
doi:101111ene16429,2024,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,Baseline engagement with healthy lifestyles and their associations with health outcomes in people with multiple sclerosis enrolled in an online multimodal lifestyle course.
doi:101111ijpo12499,2019,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,A randomized control trial of the impact of LCPUFA-ω3 supplementation on body weight and insulin resistance in pubertal children with obesity.
doi:101111iwj13957,2023,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,Monitoring and modifying recruitment and retention strategies for an ongoing randomised clinical trial with venous leg ulcer patients: Overcoming barriers to participation.
doi:101111jar13041,2023,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,Dietary supplements for aggressive behaviour in people with intellectual disabilities: A randomised controlled crossover trial.
doi:101111jgs19266,2025,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,"Effect of vitamin D, omega-3 supplementation, or a home exercise program on muscle mass and sarcopenia: DO-HEALTH trial."
doi:101111jocd16513,2024,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,"Krill oil supplementation improves transepidermal water loss, hydration and elasticity of the skin in healthy adults: Results from two randomized, double-blind, placebo-controlled, dose-finding pilot "
doi:101111joim13442,2022,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Changes in eicosapentaenoic acid and docosahexaenoic acid and risk of cardiovascular events and atrial fibrillation: A secondary analysis of the OMEMI trial.
doi:101111nbu12619,2023,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,"Effects of antioxidant supplementation on bone mineral density, bone mineral content and bone structure in healthy men during 60 days of 6° head-down tilt bed rest: Results from a randomised controlle"
doi:101111pai70365,2026,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,Maternal characteristics associated with ovalbumin concentrations in breast milk.
doi:101123ijsnem20160325,2017,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,"n-3 Fatty Acid Supplementation During 4 Weeks of Training Leads to Improved Anaerobic Endurance Capacity, but not Maximal Strength, Speed, or Power in Soccer Players."
doi:101123ijsnem20220047,2022,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,No Effect of Calanus Oil on Maximal Oxygen Uptake in Healthy Participants: A Randomized Controlled Study.
doi:101136bmjopen2022070220,2023,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Identifying women who may benefit from higher dose omega-3 supplementation during pregnancy to reduce their risk of prematurity: exploratory analyses from the ORIP trial.
doi:101136bmjopen2023076507,2023,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Predictors of compliance with higher dose omega-3 fatty acid supplementation during pregnancy and implications for the risk of prematurity: exploratory analysis of the ORIP randomised trial.
doi:101139apnm20190729,2020,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Oral supplementation with omega-3 fatty acids and inflammation markers in patients with chronic kidney disease in hemodialysis.
doi:1011771557988317720581,2017,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Effect of Omega-3 Polyunsaturated Fatty Acids Supplementation on Body Composition and Circulating Levels of Follistatin-Like 1 in Males With Coronary Artery Disease: A Randomized Double-Blind Clinical
doi:101186s1293702501200x,2025,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,"Effects of spirulina (Arthrospira) platensis supplementation on inflammation, physical and mental quality of life, and anthropometric measures in patients with relapsing-remitting multiple sclerosis ("
doi:101186s1294401706170,2017,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Effects of 12-week supplementation of marine Omega-3 PUFA-based formulation Omega3Q10 in older adults with prehypertension and/or elevated blood cholesterol.
doi:101186s129440190967x,2019,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Curcumin and/or omega-3 polyunsaturated fatty acids supplementation reduces insulin resistance and blood lipids in individuals with high risk of type 2 diabetes: a randomised controlled trial.
doi:101186s12944023018388,2023,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,"Icosapent ethyl therapy for very high triglyceride levels: a 12-week, multi-center, placebo-controlled, randomized, double-blinded, phase III clinical trial in China."
doi:101186s12970020004051,2021,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,The effect of Omega-3 polyunsaturated fatty acid supplementation on exercise-induced muscle damage.
doi:101186s1297002100411x,2021,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,4-week eicosapentaenoic acid-rich fish oil supplementation partially protects muscular damage following eccentric contractions.
doi:101186s13063026095514,2026,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Factors associated with adherence to allocated treatment in the ASCEND trial: a mail-based randomised trial of aspirin and of omega-3 fatty acid supplementation in people with diabetes.
doi:101210clinemdgaa630,2020,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,Exercise Training Reduces Inflammation of Adipose Tissue in the Elderly: Cross-Sectional and Randomized Interventional Trial.
doi:101210clinemdgaa981,2021,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Effects of Vitamin D3 Supplementation on Body Composition in the VITamin D and OmegA-3 TriaL (VITAL).
doi:101210clinemdgae150,2024,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,"Effects of Supplemental Vitamin D3, Omega-3 Fatty Acids on Physical Performance Measures in the VITamin D and OmegA-3 TriaL."
doi:101249mss0000000000003117,2023,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,The Dose-Response Effect of Docosahexaenoic Acid on the Omega-3 Index in American Football Athletes.
doi:101371journalpone0265462,2023,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Comparative membrane incorporation of omega-3 fish oil triglyceride preparations differing by degree of re-esterification: A sixteen-week randomized intervention trial.
doi:101515jbcpp20240148,2024,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,"Effect of omega-3 fatty acids supplementation on muscle mass, fat mass, and visceral fat of hemodialysis patients; A randomized clinical trial."
doi:1020960nh03847,2022,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,"Effect of immunonutrition on serum levels of C-reactive protein and lymphocytes in patients with COVID-19: a randomized, controlled, double-blind clinical trial."
doi:1020960nh03992,2022,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,The effect of omega-3 fatty acid supplementation on weight loss and cognitive function in overweight or obese individuals on weight-loss diet.
doi:1020960nh2338,2019,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,"Effects of omega-3 fatty acids supplementation on neoadjuvant chemotherapy-induced toxicity in patients with locally advanced breast cancer: a randomized, controlled, double-blinded clinical trial."
doi:1021037apm211018,2021,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,The effect of combined supplementation with vitamin D and omega-3 fatty acids on blood glucose and blood lipid levels in patients with gestational diabetes.
doi:102147cias368079,2022,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,Calanus Oil Supplementation Does Not Further Improve Short-Term Memory or Brain-Derived Neurotrophic Factor in Older Women Who Underwent Exercise Training.
doi:102337db210136,2021,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Investigating the Neuroprotective Effect of Oral Omega-3 Fatty Acid Supplementation in Type 1 Diabetes (nPROOFS1): A Randomized Placebo-Controlled Trial.
doi:1026355eurrev20220729290,2022,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Comparative effectiveness of adding Omega-3 or Vitamin D to standard therapy in preventing and treating episodes of painful crisis in pediatric sickle cell patients.
doi:1026355eurrev20221030021,2022,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Cost-effectiveness analysis of adding omega-3 or vitamin D supplementation to standard therapy in treating painful crises of pediatric sickle cell disease patients.
doi:1029262ramv72i41552,2025,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,"[High-dose omega-3 fatty acid supplementation in patients with persistent allergic rhinitis sensitized to perennial allergens: a randomized, placebo-controlled clinical trial]."
doi:103177jnsv66s47,2020,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,Supplementation of Catfish (Clarias gariepinus) Oil Enriched with Omega-3 Soft Capsule Improves Oxidative Stress and Cognitive Function in Elderly.
doi:103233jad220234,2022,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,"Effects of a 6-Month Multifaceted Diet and Exercise Intervention on Cognition in Older Adults at Risk of Cognitive Decline: The PONDER Double-Blind, Placebo-Controlled Randomized Trial."
doi:103389fendo20251531762,2025,DROPPED,ingredient not in title/abstract,omega3_trial_abstract_level,omega-3 + intervention phrasing in abstract,FALSE_NEGATIVE,Flaxseed intervention and reproductive endocrine profiles in patients with polycystic ovary syndrome: an open-labeled randomized controlled clinical trial.
doi:103390ijerph192013574,2022,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,"Krill Oil Supplementation Does Not Change Waist Circumference and Sagittal Abdominal Diameter in Overweight Women: A Pilot Balanced, Double-Blind, and Placebo-Controlled Clinical Trial."
doi:103390ijms24108567,2023,DROPPED,ingredient not in title/abstract,omega3_trial_title_level,omega-3 named in TITLE,FALSE_NEGATIVE,"Potential Modulation of Inflammation and Physical Function by Combined Probiotics, Omega-3 Supplementation and Vitamin D Supplementation in Overweight/Obese Patients with Chronic Low-Grade Inflammatio"
